Characteristic,Year,Demographic Category,Demographic Group,Overall Sample Size,Overall Population Size,Sample Cases with Characteristic,Estimated Population with Characteristic,Percentage with Characteristic,Lower Confidence Level,Upper Confidence Level
Has Health Care Coverage,2016,Education Level,College Graduate,"12,279","4,869,753","11,882","4,654,900",95.60,94.9,96.3
Has Health Care Coverage,2016,Income Range,"Less than $25,000","8,551","3,720,967","7,765","3,149,512",84.60,82.9,86.4
Has Health Care Coverage,2016,Income Range,"$25,000 - 49,999","7,300","2,787,106","6,780","2,450,419",87.90,86.1,89.8
Has Health Care Coverage,2016,Employment Status,Employed/Self-Employed,"16,703","8,739,928","15,484","7,821,057",89.50,88.5,90.5
Has Health Care Coverage,2016,Employment Status,Unemployed,"1,523","907,750","1,297","742,503",81.80,77.8,85.8
Has Health Care Coverage,2016,Employment Status,Not in Labor Force,"15,501","5,645,861","14,960","5,309,417",94.00,93.1,95
Has Health Care Coverage,2016,Mental Health Status,Poor Mental Health,"3,718","1,647,572","3,456","1,480,033",89.80,87.1,92.6
Has Health Care Coverage,2016,Mental Health Status,Good Mental Health,"29,669","13,501,841","27,970","12,274,594",90.90,90.2,91.6
Does Not Have Health Care Coverage,2016,TOTAL,TOTAL,"34,057","15,537,043","2,032","1,477,365",9.50,8.8,10.2
Does Not Have Health Care Coverage,2016,NYC/ROS,Rest of State (NYS excluding NYC),"29,678","8,839,206","1,575","691,400",7.80,7,8.7
Does Not Have Health Care Coverage,2016,DSRIP Region,Long Island,"1,183","2,246,788",84,"204,302",9.10,6.6,11.6
Does Not Have Health Care Coverage,2016,DSRIP Region,Mohawk Valley,"2,205","205,083",122,"16,643",8.10,6.2,10.1
Does Not Have Health Care Coverage,2016,DSRIP Region,North Country,"3,087","244,738",148,"15,795",6.50,4.6,8.3
Does Not Have Health Care Coverage,2016,DSRIP Region,Central New York,"3,307","797,903",157,"61,157",7.70,5.9,9.4
Does Not Have Health Care Coverage,2016,DSRIP Region,Southern Tier,"2,216","356,447",99,"19,705",5.50,3.8,7.3
Does Not Have Health Care Coverage,2016,DSRIP Region,Western New York,"4,691","1,216,959",246,"98,121",8.10,5.9,10.2
Does Not Have Health Care Coverage,2016,Sex,Male,"14,981","7,418,463","1,164","853,810",11.50,10.4,12.7
Does Not Have Health Care Coverage,2016,Race/Ethnicity,Black/Non-Hispanic,"1,714","2,143,248",144,"202,655",9.50,7.4,11.5
Does Not Have Health Care Coverage,2016,Race/Ethnicity,Other Race or Multiracial/Non-Hispanic,"1,483","1,676,122",134,"159,767",9.50,6.8,12.3
Does Not Have Health Care Coverage,2016,Age Group,25-44,"7,370","5,250,576",846,"780,758",14.90,13.4,16.4
Does Not Have Health Care Coverage,2016,Age Group,45-64,"13,100","5,107,250",718,"392,750",7.70,6.6,8.8
Does Not Have Health Care Coverage,2016,Age Group,65+,"11,243","3,080,643",224,"74,771",2.40,1.8,3
Does Not Have Health Care Coverage,2016,Education Level,Less than H.S.,"2,925","2,240,499",529,"541,644",24.20,21.2,27.1
Does Not Have Health Care Coverage,2016,Education Level,H.S. or GED,"9,900","4,111,113",669,"421,264",10.20,8.7,11.8
Does Not Have Health Care Coverage,2016,Education Level,Some Post H.S.,"8,790","4,194,486",417,"283,927",6.80,5.6,7.9
Does Not Have Health Care Coverage,2016,Income Range,"Less than $25,000","8,551","3,720,967",786,"571,454",15.40,13.6,17.1
Does Not Have Health Care Coverage,2016,Income Range,"$25,000 - 49,999","7,300","2,787,106",520,"336,686",12.10,10.2,13.9
Does Not Have Health Care Coverage,2016,Income Range,"$50,000 - 74,999","4,543","1,771,792",171,"108,700",6.10,4.4,7.8
Does Not Have Health Care Coverage,2016,Income Range,"More than $75,000","8,939","4,599,725",199,"144,034",3.10,2.4,3.9
Does Not Have Health Care Coverage,2016,Employment Status,Employed/Self-Employed,"16,703","8,739,928","1,219","918,871",10.50,9.5,11.5
Does Not Have Health Care Coverage,2016,Employment Status,Unemployed,"1,523","907,750",226,"165,247",18.20,14.2,22.2
Does Not Have Health Care Coverage,2016,Employment Status,Not in Labor Force,"15,501","5,645,861",541,"336,443",6.00,5,6.9
Does Not Have Health Care Coverage,2016,Mental Health Status,Poor Mental Health,"3,718","1,647,572",262,"167,539",10.20,7.4,12.9
Does Not Have Health Care Coverage,2016,Mental Health Status,Good Mental Health,"29,669","13,501,841","1,699","1,227,247",9.10,8.4,9.8
Does Not Have Health Care Coverage,2017,Limitation Status,Limitation - No,"7,516","9,825,743",637,,10.90,9.9,12
Has Health Care Coverage,2012,Education Level,College Graduate,"2,444","4,572,176","2,267","4,220,456",92.30,91,93.6
Has Health Care Coverage,2015,Employment Status,Employed/Self-Employed,"6,172","8,698,535","5,712","7,705,113",88.60,87.4,89.8
Does Not Have Health Care Coverage,2015,Income Range,"$25,000 - 49,999","2,231","2,633,876",187,"324,042",12.30,10.3,14.3
Has Health Care Coverage,2013,TOTAL,TOTAL,"8,939","15,304,635","8,005","13,147,150",85.90,84.8,87
Does Not Have Health Care Coverage,2015,Mental Health Status,Poor Mental Health,"1,308","1,761,544",96,"196,451",11.20,8.4,13.9
Has Health Care Coverage,2017,DSRIP Region,Tug Hill Seaway,651,"190,753",617,"174,930",91.70,88.3,95.1
Does Not Have Health Care Coverage,2017,DSRIP Region,Mohawk Valley,555,"205,010",33,"14,850",7.20,4.2,10.3
Does Not Have Health Care Coverage,2017,TOTAL,TOTAL,"12,202","15,556,978",968,"1,553,656",10.00,9.2,10.8
Has Health Care Coverage,2017,Employment Status,Employed/Self-Employed,"6,271","8,728,866","5,684","7,779,702",89.10,88,90.2
Has Health Care Coverage,2015,DSRIP Region,North Country,426,"262,781",396,"238,208",90.60,86.7,94.6
Has Health Care Coverage,2017,Income Range,"Less than $25,000","2,965","3,719,342","2,548","3,040,400",81.70,79.7,83.8
Does Not Have Health Care Coverage,2013,Sex,Male,"3,704","7,314,403",498,"1,323,056",18.10,16.3,19.9
Does Not Have Health Care Coverage,2017,Employment Status,Employed/Self-Employed,"6,271","8,728,866",587,"949,164",10.90,9.8,12
Does Not Have Health Care Coverage,2017,Age Group,25-44,"3,062","5,260,020",432,"809,836",15.40,13.7,17.1
Has Health Care Coverage,2011,Education Level,Some Post H.S.,"1,830","3,932,783","1,630","3,438,568",87.40,85.1,89.7
Does Not Have Health Care Coverage,2014,Limitation Status,Limitation - No,"4,783","11,497,721",420,"1,469,858",12.80,11.4,14.2
Has Health Care Coverage,2014,Limitation Status,Limitation - Yes,"1,665","3,059,537","1,568","2,787,401",91.10,89.1,93.1
Does Not Have Health Care Coverage,2016,Limitation Status,Limitation - No,"23,044","11,036,973","1,522","1,143,281",10.40,9.4,11.3
Does Not Have Health Care Coverage,2017,Income Range,"Less than $25,000","2,965","3,719,342",417,"678,942",18.30,16.2,20.3
Does Not Have Health Care Coverage,2017,DSRIP Region,New York City,"4,143","6,732,723",489,"868,444",12.90,11.6,14.2
Does Not Have Health Care Coverage,2017,DSRIP Region,Mid-Hudson,"1,709","1,804,201",133,"152,926",8.50,6.9,10
Does Not Have Health Care Coverage,2012,Sex,Male,"2,445","7,207,974",335,"1,306,405",18.10,15.8,20.5
Does Not Have Health Care Coverage,2013,NYC/ROS,Rest of State (NYS excluding NYC),"4,862","8,741,854",441,"1,035,876",11.80,10.5,13.2
Has Health Care Coverage,2016,DSRIP Region,Capital Region,"3,389","771,655","3,237","727,169",94.20,93,95.5
Does Not Have Health Care Coverage,2017,Education Level,College Graduate,"5,217","4,945,865",216,"208,293",4.20,3.5,4.9
Does Not Have Health Care Coverage,2017,Disability Status,Disability - No,"8,566","11,197,234",670,"1,119,361",10.00,9,11
Has Health Care Coverage,2017,Education Level,Less than H.S.,"1,136","2,211,782",852,"1,623,528",73.40,70,76.8
Has Health Care Coverage,2017,Education Level,College Graduate,"5,217","4,945,865","5,001","4,737,572",95.80,95.1,96.5
Does Not Have Health Care Coverage,2017,DSRIP Region,Tug Hill Seaway,651,"190,753",34,"15,822",8.30,4.9,11.7
Has Health Care Coverage,2015,Limitation Status,Limitation - Yes,"3,130","3,177,092","3,016","2,979,690",93.80,92.2,95.4
Does Not Have Health Care Coverage,2011,Race/Ethnicity,Other Race or Multiracial/Non-Hispanic,425,"1,421,221",83,"279,280",19.70,14.8,24.5
Does Not Have Health Care Coverage,2017,DSRIP Region,Western New York,713,"1,208,188",33,"69,822",5.80,3.3,8.3
Has Health Care Coverage,2012,Sex,Male,"2,445","7,207,974","2,110","5,901,569",81.90,79.5,84.2
Has Health Care Coverage,2011,Age Group,18-24,456,"1,827,235",362,"1,502,898",82.20,77.6,86.9
Does Not Have Health Care Coverage,2012,Race/Ethnicity,Black/Non-Hispanic,524,"2,084,419",82,"347,601",16.70,12.2,21.2
Does Not Have Health Care Coverage,2017,Income Range,"More than $75,000","3,764","4,795,308",92,"154,833",3.20,2.4,4.1
Has Health Care Coverage,2012,Income Range,"$50,000 - 74,999",799,"1,856,641",742,"1,672,621",90.10,86.9,93.2
Has Health Care Coverage,2016,Income Range,"$50,000 - 74,999","4,543","1,771,792","4,372","1,663,092",93.90,92.2,95.6
Does Not Have Health Care Coverage,2015,Sex,Female,"7,127","8,109,202",349,"601,434",7.40,6.5,8.4
Has Health Care Coverage,2015,NYC/ROS,New York City,"4,361","6,709,733","4,004","5,864,551",87.40,85.9,88.9
Has Health Care Coverage,2011,Employment Status,Employed/Self-Employed,"3,895","7,917,252","3,397","6,600,728",83.40,81.6,85.1
Has Health Care Coverage,2017,Income Range,"$25,000 - 49,999","2,334","2,958,471","2,125","2,619,116",88.50,86.5,90.6
Does Not Have Health Care Coverage,2015,Race/Ethnicity,White/Non-Hispanic,"8,391","8,610,225",300,"451,025",5.20,4.5,6
Has Health Care Coverage,2016,Disability Status,Disability - No,"23,322","11,088,004","21,913","10,054,314",90.70,89.8,91.5
Has Health Care Coverage,2011,Race/Ethnicity,White/Non-Hispanic,"5,137","8,904,104","4,770","8,067,679",90.60,89.3,91.9
Has Health Care Coverage,2017,DSRIP Region,Southern Tier,625,"357,340",593,"322,744",90.30,84.7,96
Does Not Have Health Care Coverage,2012,Mental Health Status,Poor Mental Health,687,"1,831,895",93,"323,223",17.60,13.2,22.1
Has Health Care Coverage,2012,Mental Health Status,Poor Mental Health,687,"1,831,895",594,"1,508,672",82.40,77.9,86.8
Has Health Care Coverage,2017,Education Level,Some Post H.S.,"2,896","4,201,681","2,726","3,896,406",92.70,91.4,94.1
Has Health Care Coverage,2017,Employment Status,Unemployed,639,"952,507",534,"802,775",84.30,80.8,87.8
Does Not Have Health Care Coverage,2017,Education Level,Some Post H.S.,"2,896","4,201,681",170,"305,274",7.30,5.9,8.6
Has Health Care Coverage,2017,Limitation Status,Limitation - No,"7,516","9,825,743","6,879",,89.10,88,90.1
Has Health Care Coverage,2013,Limitation Status,Limitation - Yes,"2,143","3,273,911","2,014","3,000,564",91.70,89.8,93.5
Has Health Care Coverage,2017,Education Level,H.S. or GED,"2,872","4,109,192","2,584","3,665,659",89.20,87.7,90.7
Does Not Have Health Care Coverage,2017,Race/Ethnicity,Hispanic,"1,758","2,690,649",393,"636,885",23.70,21.2,26.2
Has Health Care Coverage,2017,Age Group,25-44,"3,062","5,260,020","2,630","4,450,185",84.60,82.9,86.3
Has Health Care Coverage,2014,Employment Status,Unemployed,423,"1,198,395",333,"911,835",76.10,71,81.2
Has Health Care Coverage,2012,Race/Ethnicity,Hispanic,654,"2,562,765",470,"1,686,795",65.80,60.9,70.8
Has Health Care Coverage,2016,DSRIP Region,Tug Hill Seaway,"1,256","194,863","1,199","183,629",94.20,92.2,96.3
Does Not Have Health Care Coverage,2011,Mental Health Status,Good Mental Health,"6,617","12,753,710",713,"1,834,846",14.40,13,15.7
Has Health Care Coverage,2017,DSRIP Region,Long Island,"1,229","2,243,131","1,145","2,083,950",92.90,91.2,94.7
Has Health Care Coverage,2017,Race/Ethnicity,Other Race or Multiracial/Non-Hispanic,818,"1,705,765",733,"1,514,312",88.80,85.9,91.7
Has Health Care Coverage,2017,Mental Health Status,Good Mental Health,"10,554","13,367,621","9,729","12,028,535",90.00,89.1,90.8
Has Health Care Coverage,2017,DSRIP Region,Western New York,713,"1,208,188",680,"1,138,366",94.20,91.7,96.7
Has Health Care Coverage,2011,Income Range,"More than $75,000","2,030","3,904,135","1,963","3,706,591",94.90,93.2,96.6
Does Not Have Health Care Coverage,2017,NYC/ROS,New York City,"4,143","6,732,723",489,"868,444",12.90,11.6,14.2
Has Health Care Coverage,2017,DSRIP Region,Mohawk Valley,555,"205,010",522,"190,160",92.80,89.7,95.8
Has Health Care Coverage,2013,Employment Status,Unemployed,609,"1,258,875",458,"930,048",73.90,69,78.8
Has Health Care Coverage,2017,Limitation Status,Limitation - Yes,"2,299","2,315,458","2,211",,95.50,94.2,96.7
Has Health Care Coverage,2017,Age Group,18-24,834,"1,847,052",750,"1,665,101",90.10,87.6,92.7
Has Health Care Coverage,2017,Disability Status,Disability - Yes,"2,973","3,415,934","2,750","3,096,355",90.60,89.2,92.1
Has Health Care Coverage,2015,Age Group,45-64,"4,702","5,147,552","4,418","4,750,696",92.30,91.2,93.4
Has Health Care Coverage,2016,Limitation Status,Limitation - No,"23,044","11,036,973","21,522","9,893,692",89.60,88.7,90.6
Has Health Care Coverage,2017,TOTAL,TOTAL,"12,202","15,556,978","11,234","14,003,321",90.00,89.2,90.8
Does Not Have Health Care Coverage,2017,Age Group,18-24,834,"1,847,052",84,"181,950",9.90,7.3,12.4
Does Not Have Health Care Coverage,2017,NYC/ROS,Rest of State (NYS excluding NYC),"8,059","8,824,255",479,"685,213",7.80,6.8,8.7
Has Health Care Coverage,2013,Sex,Male,"3,704","7,314,403","3,206","5,991,347",81.90,80.1,83.7
Does Not Have Health Care Coverage,2016,Race/Ethnicity,White/Non-Hispanic,"27,667","8,573,777","1,246","449,951",5.20,4.6,5.9
Has Health Care Coverage,2014,NYC/ROS,New York City,"2,977","6,653,164","2,654","5,546,487",83.40,81.4,85.3
Does Not Have Health Care Coverage,2013,Limitation Status,Limitation - Yes,"2,143","3,273,911",129,"273,347",8.30,6.5,10.2
Does Not Have Health Care Coverage,2014,Race/Ethnicity,Other Race or Multiracial/Non-Hispanic,440,"1,548,482",68,"267,200",17.30,12.8,21.7
Has Health Care Coverage,2015,DSRIP Region,Finger Lakes,"1,002","1,008,165",959,"923,254",91.60,88.2,94.9
Does Not Have Health Care Coverage,2017,DSRIP Region,Long Island,"1,229","2,243,131",84,"159,182",7.10,5.3,8.8
Has Health Care Coverage,2012,Limitation Status,Limitation - Yes,"1,445","3,151,161","1,331","2,804,876",89.00,86.3,91.7
Has Health Care Coverage,2015,Education Level,H.S. or GED,"2,974","4,165,207","2,747","3,730,464",89.60,87.9,91.2
Has Health Care Coverage,2017,Employment Status,Not in Labor Force,"5,124","5,655,624","4,876","5,247,253",92.80,91.6,93.9
Does Not Have Health Care Coverage,2011,Limitation Status,Limitation - Yes,"2,043","3,334,086",143,"298,985",9.00,6.9,11
Does Not Have Health Care Coverage,2017,DSRIP Region,Finger Lakes,673,"1,004,604",38,"102,244",10.20,6.2,14.1
Has Health Care Coverage,2017,DSRIP Region,Capital Region,649,"770,319",614,"712,020",92.40,89.1,95.7
Has Health Care Coverage,2013,Sex,Female,"5,235","7,990,232","4,799","7,155,803",89.60,88.4,90.8
Does Not Have Health Care Coverage,2016,DSRIP Region,Mid-Hudson,"3,932","1,799,513",238,"147,438",8.20,6.6,9.8
Has Health Care Coverage,2013,Employment Status,Not in Labor Force,"3,593","5,320,131","3,414","4,966,024",93.30,92.1,94.6
Has Health Care Coverage,2011,Limitation Status,Limitation - No,"5,058","10,312,322","4,416","8,632,081",83.70,82.2,85.3
Does Not Have Health Care Coverage,2016,DSRIP Region,Tug Hill Seaway,"1,256","194,863",57,"11,234",5.80,3.7,7.8
Does Not Have Health Care Coverage,2014,Age Group,45-64,"2,622","5,151,367",195,"453,229",8.80,7.3,10.3
Has Health Care Coverage,2014,Limitation Status,Limitation - No,"4,783","11,497,721","4,363","10,027,863",87.20,85.8,88.6
Does Not Have Health Care Coverage,2017,Employment Status,Unemployed,639,"952,507",105,"149,732",15.70,12.2,19.2
Has Health Care Coverage,2015,Income Range,"Less than $25,000","2,832","3,780,222","2,520","3,132,025",82.90,80.8,84.9
Does Not Have Health Care Coverage,2017,Race/Ethnicity,White/Non-Hispanic,"8,023","8,551,781",342,"462,496",5.40,4.6,6.2
Has Health Care Coverage,2012,Age Group,25-44,"1,552","5,184,563","1,266","4,048,552",78.10,75.1,81.1
Has Health Care Coverage,2017,DSRIP Region,New York City,"4,143","6,732,723","3,654","5,864,279",87.10,85.8,88.4
Does Not Have Health Care Coverage,2016,NYC/ROS,New York City,"4,379","6,697,837",457,"785,964",11.70,10.5,13
Does Not Have Health Care Coverage,2011,Limitation Status,Limitation - No,"5,058","10,312,322",642,"1,680,241",16.30,14.7,17.8
Has Health Care Coverage,2017,Age Group,45-64,"4,432","5,073,438","4,077","4,626,508",91.20,90,92.4
Does Not Have Health Care Coverage,2015,Limitation Status,Limitation - Yes,"3,130","3,177,092",114,"197,402",6.20,4.6,7.8
Does Not Have Health Care Coverage,2011,Sex,Female,"4,595","7,770,071",429,"869,329",11.20,9.8,12.5
Has Health Care Coverage,2016,DSRIP Region,Finger Lakes,"4,412","1,005,257","4,140","932,739",92.80,91.1,94.4
Has Health Care Coverage,2011,Limitation Status,Limitation - Yes,"2,043","3,334,086","1,900","3,035,101",91.00,89,93.1
Has Health Care Coverage,2014,Employment Status,Employed/Self-Employed,"3,448","8,453,575","3,136","7,392,066",87.40,85.9,89
Has Health Care Coverage,2013,NYC/ROS,New York City,"4,077","6,562,781","3,584","5,441,172",82.90,81.1,84.7
Has Health Care Coverage,2017,Income Range,"$50,000 - 74,999","1,376","1,649,238","1,313","1,557,465",94.40,92.5,96.3
Has Health Care Coverage,2017,Race/Ethnicity,White/Non-Hispanic,"8,023","8,551,781","7,681","8,089,285",94.60,93.8,95.4
Has Health Care Coverage,2011,Employment Status,Unemployed,592,"1,446,340",421,"1,046,873",72.40,67.3,77.5
Does Not Have Health Care Coverage,2016,Limitation Status,Limitation - Yes,"9,127","2,960,062",336,"156,942",5.30,4.2,6.4
Has Health Care Coverage,2013,Education Level,College Graduate,"3,760","4,576,697","3,546","4,268,160",93.30,92,94.5
Has Health Care Coverage,2015,Sex,Female,"7,127","8,109,202","6,778","7,507,768",92.60,91.6,93.5
Does Not Have Health Care Coverage,2013,Education Level,Some Post H.S.,"2,125","4,130,133",243,"566,620",13.70,11.7,15.7
Does Not Have Health Care Coverage,2016,Education Level,College Graduate,"12,279","4,869,753",397,"214,853",4.40,3.7,5.1
Has Health Care Coverage,2015,Limitation Status,Limitation - No,"8,677","11,650,719","8,064","10,365,340",89.00,88,90
Has Health Care Coverage,2017,NYC/ROS,Rest of State (NYS excluding NYC),"8,059","8,824,255","7,580","8,139,042",92.20,91.3,93.2
Does Not Have Health Care Coverage,2013,Sex,Female,"5,235","7,990,232",436,"834,429",10.40,9.2,11.6
Has Health Care Coverage,2017,Sex,Female,"6,634","8,102,349","6,226","7,448,896",91.90,90.9,92.9
Does Not Have Health Care Coverage,2014,Limitation Status,Limitation - Yes,"1,665","3,059,537",97,"272,136",8.90,6.9,10.9
Has Health Care Coverage,2012,Limitation Status,Limitation - No,"4,474","11,699,915","3,938","9,815,108",83.90,82.2,85.6
Has Health Care Coverage,2017,NYC/ROS,New York City,"4,143","6,732,723","3,654","5,864,279",87.10,85.8,88.4
Does Not Have Health Care Coverage,2015,Race/Ethnicity,Other Race or Multiracial/Non-Hispanic,758,"1,586,067",64,"153,252",9.70,6.9,12.4
Has Health Care Coverage,2014,Race/Ethnicity,Other Race or Multiracial/Non-Hispanic,440,"1,548,482",372,"1,281,282",82.70,78.3,87.2
Has Health Care Coverage,2015,Mental Health Status,Good Mental Health,"10,692","13,380,110","10,038","12,049,430",90.10,89.2,90.9
Does Not Have Health Care Coverage,2015,Limitation Status,Limitation - No,"8,677","11,650,719",613,"1,285,380",11.00,10,12
Has Health Care Coverage,2011,Age Group,25-44,"2,134","5,186,489","1,736","4,024,989",77.60,75.1,80.1
Does Not Have Health Care Coverage,2017,Race/Ethnicity,Black/Non-Hispanic,"1,226","2,141,655",112,"206,538",9.60,7.6,11.7
Does Not Have Health Care Coverage,2017,Mental Health Status,Good Mental Health,"10,554","13,367,621",825,"1,339,087",10.00,9.2,10.9
Does Not Have Health Care Coverage,2011,Age Group,18-24,456,"1,827,235",94,"324,338",17.80,13.1,22.4
Does Not Have Health Care Coverage,2017,DSRIP Region,Southern Tier,625,"357,340",32,"34,596",9.70,4,15.3
Does Not Have Health Care Coverage,2017,DSRIP Region,Central New York,678,"797,186",32,"55,682",7.00,3.7,10.3
Does Not Have Health Care Coverage,2012,Limitation Status,Limitation - No,"4,474","11,699,915",536,"1,884,807",16.10,14.4,17.8
Does Not Have Health Care Coverage,2011,Age Group,25-44,"2,134","5,186,489",398,"1,161,501",22.40,19.9,24.9
Does Not Have Health Care Coverage,2013,Income Range,"Less than $25,000","2,356","4,175,871",459,"1,028,133",24.60,22.1,27.1
Has Health Care Coverage,2017,DSRIP Region,Finger Lakes,673,"1,004,604",635,"902,360",89.80,85.9,93.8
Has Health Care Coverage,2016,Age Group,45-64,"13,100","5,107,250","12,382","4,714,501",92.30,91.2,93.4
Has Health Care Coverage,2015,DSRIP Region,Capital Region,"1,060","764,744","1,032","728,370",95.20,93.3,97.2
Does Not Have Health Care Coverage,2017,Age Group,65+,"3,649","3,121,301",82,"99,439",3.20,2.3,4.1
Has Health Care Coverage,2015,DSRIP Region,New York City,"4,361","6,709,733","4,004","5,864,551",87.40,85.9,88.9
Has Health Care Coverage,2017,Race/Ethnicity,Black/Non-Hispanic,"1,226","2,141,655","1,114","1,935,117",90.40,88.3,92.4
Has Health Care Coverage,2017,DSRIP Region,North Country,577,"243,523",552,"221,734",91.10,86.4,95.7
Does Not Have Health Care Coverage,2017,DSRIP Region,Capital Region,649,"770,319",35,"58,300",7.60,4.3,10.9
Does Not Have Health Care Coverage,2016,DSRIP Region,Capital Region,"3,389","771,655",152,"44,485",5.80,4.5,7
Has Health Care Coverage,2017,DSRIP Region,Mid-Hudson,"1,709","1,804,201","1,576","1,651,275",91.50,90,93.1
Does Not Have Health Care Coverage,2015,Employment Status,Not in Labor Force,"5,301","5,508,115",187,"321,755",5.80,4.9,6.8
Does Not Have Health Care Coverage,2017,Age Group,45-64,"4,432","5,073,438",355,"446,930",8.80,7.6,10
Does Not Have Health Care Coverage,2017,Sex,Male,"5,565","7,447,651",560,"900,204",12.10,10.9,13.3
Has Health Care Coverage,2017,Disability Status,Disability - No,"8,566","11,197,234","7,896","10,077,873",90.00,89,91
Does Not Have Health Care Coverage,2017,Education Level,Less than H.S.,"1,136","2,211,782",284,"588,255",26.60,23.2,30
Does Not Have Health Care Coverage,2015,TOTAL,TOTAL,"12,314","15,546,755",772,"1,564,062",10.10,9.2,10.9
Does Not Have Health Care Coverage,2017,Sex,Female,"6,634","8,102,349",408,"653,453",8.10,7.1,9.1
Does Not Have Health Care Coverage,2016,DSRIP Region,New York City,"4,379","6,697,837",457,"785,964",11.70,10.5,13
Has Health Care Coverage,2011,Sex,Male,"3,097","7,136,119","2,655","5,812,306",81.40,79.3,83.5
Has Health Care Coverage,2016,Disability Status,Disability - Yes,"8,869","3,292,769","8,423","3,006,611",91.30,89.7,92.9
Has Health Care Coverage,2016,DSRIP Region,Mid-Hudson,"3,932","1,799,513","3,694","1,652,075",91.80,90.2,93.4
Does Not Have Health Care Coverage,2017,Mental Health Status,Poor Mental Health,"1,373","1,846,173",110,"158,186",8.60,6.5,10.6
Has Health Care Coverage,2016,DSRIP Region,Central New York,"3,307","797,903","3,150","736,746",92.30,90.6,94.1
Has Health Care Coverage,2016,Income Range,"More than $75,000","8,939","4,599,725","8,740","4,455,691",96.90,96.1,97.6
Does Not Have Health Care Coverage,2016,Race/Ethnicity,Hispanic,"2,393","2,679,709",440,"609,265",22.70,20.2,25.2
Has Health Care Coverage,2017,Sex,Male,"5,565","7,447,651","5,005","6,547,447",87.90,86.7,89.1
Does Not Have Health Care Coverage,2017,Income Range,"$50,000 - 74,999","1,376","1,649,238",63,"91,773",5.60,3.7,7.5
Does Not Have Health Care Coverage,2017,Education Level,H.S. or GED,"2,872","4,109,192",288,"443,533",10.80,9.3,12.3
Has Health Care Coverage,2017,Mental Health Status,Poor Mental Health,"1,373","1,846,173","1,263","1,687,987",91.40,89.4,93.5
Has Health Care Coverage,2017,DSRIP Region,Central New York,678,"797,186",646,"741,504",93.00,89.7,96.3
Has Health Care Coverage,2012,Education Level,Some Post H.S.,"1,462","4,091,928","1,310","3,584,908",87.60,85.2,90.1
Has Health Care Coverage,2013,Limitation Status,Limitation - No,"6,594","11,669,668","5,814","9,851,843",84.40,83.2,85.7
Has Health Care Coverage,2017,Income Range,"More than $75,000","3,764","4,795,308","3,672","4,640,475",96.80,95.9,97.6
Has Health Care Coverage,2017,Age Group,65+,"3,649","3,121,301","3,567","3,021,862",96.80,95.9,97.7
Does Not Have Health Care Coverage,2013,Income Range,"$25,000 - 49,999","1,794","3,151,840",221,"531,746",16.90,14.2,19.5
Has Health Care Coverage,2012,Race/Ethnicity,White/Non-Hispanic,"4,363","8,684,117","4,025","7,822,793",90.10,88.7,91.5
Does Not Have Health Care Coverage,2015,DSRIP Region,Tug Hill Seaway,307,"200,119",14,"10,463",5.20,2.3,8.1
Does Not Have Health Care Coverage,2013,Limitation Status,Limitation - No,"6,594","11,669,668",780,"1,817,825",15.60,14.3,16.8
Has Health Care Coverage,2011,Race/Ethnicity,Other Race or Multiracial/Non-Hispanic,425,"1,421,221",342,"1,141,941",80.30,75.5,85.2
Does Not Have Health Care Coverage,2014,Mental Health Status,Good Mental Health,"5,928","13,253,184",459,"1,556,079",11.70,10.5,13
Does Not Have Health Care Coverage,2017,Limitation Status,Limitation - Yes,"2,299","2,315,458",88,,4.50,3.3,5.8
Does Not Have Health Care Coverage,2017,Employment Status,Not in Labor Force,"5,124","5,655,624",248,"408,371",7.20,6.1,8.4
Has Health Care Coverage,2016,Limitation Status,Limitation - Yes,"9,127","2,960,062","8,791","2,803,121",94.70,93.6,95.8
Does Not Have Health Care Coverage,2015,Education Level,H.S. or GED,"2,974","4,165,207",227,"434,743",10.40,8.8,12.1
Does Not Have Health Care Coverage,2016,Disability Status,Disability - No,"23,322","11,088,004","1,409","1,033,690",9.30,8.5,10.2
Does Not Have Health Care Coverage,2014,TOTAL,TOTAL,"6,841","15,451,419",565,"1,897,454",12.30,11.1,13.4
Has Health Care Coverage,2014,Race/Ethnicity,White/Non-Hispanic,"4,459","8,640,272","4,245","8,059,290",93.30,92.2,94.4
Does Not Have Health Care Coverage,2017,Income Range,"$25,000 - 49,999","2,334","2,958,471",209,"339,355",11.50,9.4,13.5
Does Not Have Health Care Coverage,2012,Employment Status,Not in Labor Force,"2,465","5,456,156",156,"527,023",9.70,7.7,11.7
Does Not Have Health Care Coverage,2016,Disability Status,Disability - Yes,"8,869","3,292,769",446,"286,158",8.70,7.1,10.3
Does Not Have Health Care Coverage,2017,DSRIP Region,North Country,577,"243,523",25,"21,789",8.90,4.3,13.6
Has Health Care Coverage,2014,Education Level,College Graduate,"2,964","4,635,840","2,842","4,398,362",94.90,93.8,96
Does Not Have Health Care Coverage,2016,DSRIP Region,Finger Lakes,"4,412","1,005,257",272,"72,518",7.20,5.6,8.9
Does Not Have Health Care Coverage,2011,Sex,Male,"3,097","7,136,119",442,"1,323,813",18.60,16.5,20.7
Has Health Care Coverage,2015,Employment Status,Not in Labor Force,"5,301","5,508,115","5,114","5,186,360",94.20,93.2,95.1
